,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
245,Quinnipiac,15,10,5,.667,-1.44,-5.80,,1,3,,3,2,,5,2,,1101,1022,,600,397,896,.443,121,334,.362,186,296,.628,184,590,204,102,39,195,246
246,Radford,15,7,8,.467,-1.42,-2.34,,1,1,,5,0,,1,8,,1090,982,,600,401,863,.465,109,292,.373,179,269,.665,149,504,194,114,56,182,258
247,Rhode Island,13,4,9,.308,-3.11,-0.34,,0,1,,3,4,,0,3,,853,889,,525,296,744,.398,67,226,.296,194,264,.735,165,501,163,75,48,191,235
248,Rice,14,11,3,.786,-0.62,-2.35,,2,1,,8,0,,3,3,,1156,1017,,570,408,835,.489,130,365,.356,210,285,.737,125,536,254,87,27,198,215
249,Richmond,14,7,7,.500,4.48,-0.45,,0,1,,6,1,,0,4,,974,905,,570,346,779,.444,130,357,.364,152,219,.694,105,484,186,84,37,170,205
250,Rider,13,6,7,.462,-4.74,-4.15,,3,1,,3,1,,3,4,,918,888,,520,339,783,.433,68,213,.319,172,226,.761,159,492,152,68,32,147,243
251,Robert Morris,15,7,8,.467,-3.53,-0.53,,2,2,,4,2,,3,3,,1029,978,,600,389,870,.447,111,300,.370,140,218,.642,143,519,201,99,56,199,233
252,Rutgers,14,10,4,.714,19.52,2.23,,2,1,,9,1,,1,2,,1015,773,,560,373,843,.442,79,252,.313,190,261,.728,175,550,222,142,54,171,229
253,Sacramento State,14,8,6,.571,-1.77,1.23,,1,0,,5,0,,3,3,,947,947,,575,342,769,.445,106,290,.366,157,227,.692,152,510,188,73,40,207,220
254,Sacred Heart,16,7,9,.438,-12.54,-7.54,,1,1,,3,3,,4,6,,1134,1168,,640,414,990,.418,125,397,.315,181,259,.699,162,577,221,132,53,219,247
255,Saint Francis (PA),15,5,10,.333,-12.49,-1.80,,2,0,,5,3,,0,7,,1103,1145,,600,400,877,.456,121,316,.383,182,260,.700,133,500,212,73,24,189,246
256,Saint Joseph's,13,6,7,.462,-2.32,-1.47,,0,1,,5,3,,1,1,,932,943,,525,314,741,.424,115,341,.337,189,276,.685,130,443,164,87,34,176,236
257,Saint Louis,14,9,5,.643,6.85,4.46,,1,0,,7,2,,1,2,,1075,1001,,560,389,874,.445,95,296,.321,202,266,.759,171,580,236,63,54,165,237
258,Saint Mary's (CA),16,12,4,.750,18.79,7.10,,2,0,,8,2,,1,0,,1113,926,,645,408,896,.455,122,330,.370,175,274,.639,176,589,201,120,54,180,252
259,Saint Peter's,14,7,7,.500,-10.76,-5.15,,2,3,,6,1,,1,6,,890,916,,560,323,833,.388,93,304,.306,151,223,.677,200,537,158,83,53,180,323
260,Sam Houston State,14,11,3,.786,10.19,2.79,,1,1,,4,0,,5,3,,1105,774,,560,422,894,.472,132,340,.388,129,191,.675,195,557,216,144,27,181,234
261,Samford,15,8,7,.533,-0.94,-4.03,,2,0,,6,2,,2,5,,1181,1054,,610,389,880,.442,123,375,.328,280,374,.749,182,574,183,115,41,215,287
262,San Diego,16,8,8,.500,0.99,2.99,,1,1,,6,3,,2,3,,1249,1226,,650,434,971,.447,129,345,.374,252,330,.764,176,554,219,115,32,185,279
263,San Diego State,14,11,3,.786,16.61,8.31,,2,0,,8,0,,2,0,,1053,907,,565,369,810,.456,107,298,.359,208,287,.725,140,499,190,124,44,187,229
264,San Francisco,17,11,6,.647,5.80,-0.08,,0,2,,7,2,,2,2,,1269,1158,,680,437,1000,.437,166,499,.333,229,313,.732,176,625,233,124,38,244,305
265,San Jose State,15,11,4,.733,3.44,0.44,,2,0,,6,1,,3,2,,1047,983,,605,381,831,.458,117,331,.353,168,251,.669,168,590,203,49,62,187,230
266,Santa Clara,17,13,4,.765,9.34,5.22,,1,1,,10,2,,0,1,,1247,1168,,685,438,1018,.430,140,397,.353,231,314,.736,193,673,239,100,67,228,238
267,Seattle,14,10,4,.714,1.90,0.24,,1,0,,6,0,,3,2,,1072,965,,565,368,877,.420,133,405,.328,203,294,.690,174,548,187,84,41,178,268
268,Seton Hall,15,8,7,.533,10.84,6.41,,1,3,,6,2,,1,3,,1049,960,,600,354,800,.443,87,287,.303,254,378,.672,170,558,186,117,75,229,277
269,Siena,14,9,5,.643,-0.75,-2.82,,3,0,,3,1,,4,3,,1004,975,,565,353,763,.463,96,254,.378,202,266,.759,130,471,175,77,65,199,248
270,South Alabama,14,6,8,.429,-0.75,2.76,,0,2,,3,1,,1,6,,974,949,,560,381,851,.448,102,323,.316,110,165,.667,104,459,161,81,53,142,193
271,South Carolina,13,7,6,.538,-6.44,-2.21,,0,0,,6,0,,1,2,,843,898,,525,312,773,.404,101,311,.325,118,196,.602,173,481,149,57,41,165,197
